FID,area,perimeter,distance
584122,242.1934413,69.38408042,2183.065957
584123,207.9539784,62.00240116,2127.522094
584124,554.7813209,111.5944185,1906.898197
584132,2647.919771,328.2255337,5888.606864
584133,29727.83353,1064.576515,6933.581446
584134,594.0923916,103.8755531,6844.836421
584135,720.4884272,127.1397862,6784.11096
584136,223.9317859,75.76463751,6735.807674
584137,343.9168614,106.2237618,6852.237537
584138,208.2642302,58.06140022,6558.31898
584140,1587.921027,183.2224183,13787.5702
584141,698.2345634,115.1960718,7897.087726
584142,549.1185487,119.6961176,6807.313227
584143,644.2892714,127.0982192,22827.36518
584144,3269.729683,373.3201375,22786.27475
584145,236.314524,70.40946799,22811.05437
584146,93.30225321,39.91379261,22807.31429
584147,23618.73267,656.9117913,12299.16861
584148,310.7564161,70.06827436,2082.289463
584149,592.0449303,119.2012172,2093.953622
584150,948.9226686,159.3728708,2187.250671
584151,359.2855289,88.7749347,2511.008611
584152,2116.511062,317.3400714,2188.072925
584153,105.6588047,55.3643115,1646.231022
584154,100.4099298,54.19102337,1614.910395
584155,151.3516065,60.95994176,1349.061072
584156,301.3220782,86.39194675,1234.825916
584157,4944.140871,428.5569964,950.3331561
584158,392.3747681,93.57865308,1124.084105
584159,326.6776979,90.62002251,1141.608692
584160,4220.585879,350.7337824,1397.858685
584161,5631.832258,475.0854493,1226.43524
584162,296.2069211,78.91890177,1624.412184
584163,172.6050863,51.67656393,6231.043329
584164,952.717351,153.156783,6074.676846
584165,212.7919064,66.77539363,6031.110788
584166,29515.91589,1048.528883,5901.369879
584167,989.7211326,170.4375927,5842.524357
584243,17263.84876,493.3558613,656.0934578
584263,4246.588274,348.2051911,42311.51216
584264,22047.09071,655.2274113,42357.96467
584265,364.9576108,103.4616918,22203.21921
584266,7203.495669,330.4638029,32339.56225
584300,10897.62381,534.0487938,45388.70137
584367,2132.320406,290.8979809,1423.854847
584368,1930.939882,268.0002364,1560.550871
584369,1061.810043,171.6920878,1224.207691
584370,91.48268,46.32758254,1205.833728
584371,109.8428532,44.1036089,1450.357299
584372,83.42304133,38.08340513,1469.721373
584373,400.6977628,123.7234117,1453.057271
584374,71.72149192,39.45843337,1448.219252
584375,3073.002039,313.7741145,2048.149492
584376,154.6389198,56.04166191,2083.198387
584377,520.359855,121.8087858,2118.632698
584378,220.6819767,64.61602405,2557.136492
584379,427.4545082,78.6940813,2434.536735
584409,158.9117415,50.61913057,31494.55419
584410,209.6692782,74.35265989,31524.00656
584411,35553324.86,72373.48196,6079.692609
584750,1768057.534,8807.857715,3067.142998
584908,42.71535735,26.88214592,23943.68676
584909,74.71751904,42.11480503,23932.43859
584910,54.92021746,27.68089805,23921.85602
584911,427.9227542,93.83873273,5187.353803
584913,181432.0726,4085.105357,1198.423699
584914,1273.935981,231.2844024,1727.709909
584915,53.1857089,28.48224972,1717.29039
584916,206.884972,70.41425245,1697.299835
584917,786.1120337,117.3986849,1539.922162
584918,52.2778886,33.40965422,1516.693582
584919,31.30255962,21.35746869,1251.779331
584920,2307.81021,179.0564522,9439.47939
584921,1954.160252,275.6100613,9513.35113
584922,13781.6145,542.5361358,11739.32561
584923,47398.76488,1587.094735,32825.46516
584924,1527.799897,243.5552728,3337.609368
584925,46.08980026,26.81612179,3370.864235
584926,519.1110207,176.165293,3329.847116
584927,75.62925246,39.84018895,3353.115597
584928,3904.152471,347.4606959,3260.030237
584929,1319.740546,193.4868547,3072.539354
584930,47.4580154,29.93104327,3059.823122
584931,1187.116384,238.2484427,2989.467287
584932,17.36678255,19.60221985,3068.476484
584933,141.5243567,50.86574437,3043.350033
584934,122.6178924,64.99026245,2953.011734
584935,4133.032519,389.1864561,2564.318828
584936,200.2526348,65.19722473,2657.919095
584946,21970.6427,608.3315169,685.1464562
584947,1049.225126,168.5740259,764.2307612
584948,617.9242751,109.4089887,1133.654978
584949,2778.402649,262.8878611,581.2131586
584950,40.28561944,24.5507042,328.4514083
584951,3206.817423,318.5655137,731.7719742
584952,26.72095529,20.40844652,756.7375915
584953,16.90105065,16.4019339,824.1536991
584954,48.78273857,27.59721284,1277.18974
584955,46.42003718,29.21471464,1296.914376
584956,90.95992053,38.3051945,1340.938424
584959,118.1077737,47.14328338,1328.866798
584960,78.04556694,45.47026342,1346.756286
584961,64.64666707,39.77174895,1376.789033
584962,116.8341798,48.94270328,1526.005835
584963,96.93172888,50.13040353,1502.05309
584964,90.20698572,50.87216974,1504.989123
585081,94.82819194,46.83412269,2011.1965
585082,83.14528641,39.91273053,2034.455907
585083,9337.17543,824.9896037,2027.987904
585084,126.3117639,65.57768143,1990.300648
585085,49.32421127,31.59565033,2039.964569
585086,70.43963252,32.17515311,2095.885809
585087,39.60895385,23.77392083,2361.118288
585088,646.0393002,157.6822995,2411.923411
585089,69.29894554,36.62461295,2455.576913
585090,7233.734029,531.9341982,2200.51992
585103,484.3996489,178.6337356,2208.533527
585104,108.5302319,61.89109656,2199.296235
585105,171.4467585,65.10804035,2187.02872
585106,16051.21615,984.2000104,1974.630824
585107,66.85153071,40.46964223,2032.407098
585108,59.26951031,31.20174032,2022.598866
585109,284.1657907,123.6233021,1979.333381
585110,134.6154043,58.51726558,1986.584326
585111,16.7006907,20.28889356,1983.858364
585112,15.10037916,18.21748878,2028.833987
585113,23.21752999,18.53554165,2036.388515
585114,235.9445168,104.342218,2060.331677
585115,2834.373043,354.6793448,2034.830079
585116,17.15531886,17.03113898,2123.377747
585117,167.7813809,65.35122349,2035.978958
585118,670.2192706,207.4544256,2008.912858
585119,237.0006456,101.2706735,1986.791406
585120,1175.202664,368.8393867,1972.241022
585121,42.99275375,32.21839996,1976.912279
585122,33.36248375,24.32360048,2030.343023
585123,268.3270923,98.43370209,2019.323571
585124,114.9937792,61.09529329,2208.401571
585125,117.0280839,49.92202704,2358.983507
585126,16.34921992,17.70733073,2291.349286
585128,405.7398773,143.0967564,2153.787543
585129,560.7174756,168.5463201,2163.805355
585130,497.2151914,120.1127296,2215.955036
